product_id,product_name,category,price_usd
0PUK6V6EV0,Sunglasses,Accessories,19.99
1YMWWN1N4O,Vintage Typewriter,Vintage,65.50
2ZYFJ3GM2N,Vintage Camera Lens,Photography,12.49
66VCHSJNUP,Starsense Explorer Telescope,Optics,349.95
6E92ZMYYFZ,Air Plant,Home & Garden,12.30
9SIQT8TOJO,City Bike,Cycling,789.50
HQTGWGPNH4,National Park Foundation Explorascope,Optics,101.95
L9ECAV7KIM,Lens Cleaning Kit,Photography,3.49
LS4PSXUNUM,Roof Binoculars,Optics,209.95
OLJCESPC7Z,Vintage Record Player,Vintage,65.99
